KIC TYC ra dec numax sig_numax dnu sig_dnu teff sig_teff logg sig_logg feh sig_feh plx sig_plx btmag sig_btmag vtmag sig_vtmag gmag sig_gmag rmag sig_rmag imag sig_imag zmag sig_zmag jmag sig_jmag hmag sig_hmag kmag sig_kmag clump src
     2716608     3134-299-1   292.21681600    37.90028800    67.451     0.968     5.772     0.037  5116.2    86.0     2.751     0.007    -0.114     0.060     0.73810774     0.49997815  11.960   0.103  10.845   0.062  11.235   0.020  10.473   0.020  10.178   0.020  10.034   0.020   9.023   0.024   8.564   0.016   8.474   0.018  1  apo
     2719795     3135-145-1   292.91147500    37.97291600    53.578     0.607     5.484     0.012  4644.5    86.0     2.630     0.006    -0.010     0.060     0.38875735     0.80773491  12.601   0.220  11.421   0.096  11.958   0.020  10.995   0.020  10.652   0.020  10.444   0.020   9.357   0.020   8.753   0.026   8.620   0.018  0  apo
     2831788     3120-946-1   285.74168300    38.02907200    54.204     0.451     5.473     0.014  4629.9    86.0     2.634     0.005     0.049     0.060     1.19011211     0.23881985  11.716   0.073  10.400   0.039  10.840   0.020   9.924   0.020   9.607   0.020   9.434   0.020   8.295   0.020   7.732   0.024   7.627   0.020 -1  apo
     2836038     3120-942-1   287.10282300    38.09966700    37.123     0.728     4.252     0.023  4634.7    86.0     2.470     0.009     0.232     0.060     0.80328047     0.33702171  12.998   0.271  11.787   0.148  12.246   0.020  11.216   0.020  10.903   0.020  10.697   0.020   9.536   0.020   8.969   0.042   8.825   0.018  1  apo
     2837475    3121-1810-1   287.54847000    38.08220000  1629.761     8.774    75.720     0.055  6614.0    77.3     4.190     0.003     0.010     0.101     7.93522685     0.25588667   9.027   0.017   8.547   0.013   8.590   0.020   8.384   0.020   8.375   0.020   8.405   0.020   7.649   0.021   7.481   0.016   7.464   0.027  0  spc
     2846051    3121-1568-1   289.97073400    38.00191900     6.767     0.146     1.109     0.014  4278.9    86.0     1.713     0.010    -0.062     0.060     0.70365930     0.32991931  12.451   0.169  10.986   0.063  11.451   0.020  10.179   0.020   9.681   0.020   9.361   0.020   8.037   0.021   7.350   0.020   7.163   0.016 -1  apo
     2849125    3134-1855-1   290.73066000    38.08568000   722.576    26.115    41.322     1.969  6068.0    77.3     3.818     0.016     0.180     0.101     0.70284538     0.80114685  12.242   0.145  11.571   0.108  11.617   0.020  11.250   0.020  11.148   0.020  11.137   0.020  10.327   0.021  10.088   0.020  10.037   0.018  0  spc
     2852862     3134-251-1   291.52585050    38.04351000   983.522    11.637    53.556     0.125  6261.0    77.3     3.958     0.006    -0.100     0.101     2.56955312     0.47551119  11.479   0.070  10.802   0.062  10.905   0.020  10.625   0.020  10.532   0.020  10.536   0.020   9.772   0.021   9.540   0.016   9.511   0.018  0  spc
     2856795     3134-238-1   292.35186000    38.01881800    95.132     1.097     7.738     0.022  4963.8    86.0     2.893     0.006     0.066     0.060    -0.69535279     0.78867263  12.857   0.251  11.682   0.130  12.079   0.020  11.261   0.020  10.980   0.020  10.832   0.020   9.768   0.022   9.276   0.022   9.157   0.019 -1  apo
     2858440     3135-292-1   292.69971200    38.01328700    46.961     1.330     4.821     0.034  4795.0    86.0     2.579     0.013     0.151     0.060     1.12442851     0.25308904  12.194   0.148  10.985   0.069  11.605   0.020  10.653   0.020  10.338   0.020  10.171   0.020   8.999   0.026   8.505   0.026   8.364   0.017  1  apo
     2860010     3135-442-1   293.04065400    38.00460100    77.918     0.903     6.844     0.016  4991.1    86.0     2.808     0.006     0.004     0.060     0.72046870     0.46531796  13.765   0.417  11.732   0.140  12.303   0.020  11.448   0.020  11.162   0.020  11.008   0.020   9.935   0.021   9.430   0.020   9.321   0.017  1  apo
